repeat,frequency_mhz,s21_db
4,222.266000,-21.383699206441
4,222.346000,-21.479167511393
4,222.426000,-21.578786305383
4,222.506000,-21.674859416704
4,222.586000,-21.787472945337
4,222.666000,-21.898505786691
4,222.746000,-22.004452567968
4,222.826000,-22.114952351718
4,222.906000,-22.225725115803
4,222.986000,-22.348630490120
4,223.066000,-22.465520809375
4,223.146000,-22.585422083435
4,223.226000,-22.704070833556
4,223.306000,-22.832741058306
4,223.386000,-22.959139284530
4,223.466000,-23.078265270885
4,223.546000,-23.191051168744
4,223.626000,-23.328863258262
4,223.706000,-23.456372077733
4,223.786000,-23.583179538685
4,223.866000,-23.705865976969
4,223.946000,-23.835593870679
4,224.026000,-23.966221020960
4,224.106000,-24.094963294073
4,224.186000,-24.213161113838
4,224.266000,-24.352564676606
4,224.346000,-24.464950206804
4,224.426000,-24.601736766990
4,224.506000,-24.733308020626
4,224.586000,-24.848526810766
4,224.666000,-24.986868838769
4,224.746000,-25.127819751999
4,224.826000,-25.239071162059
4,224.906000,-25.367937592216
4,224.986000,-25.490268398131
5,216.986000,-24.015698192449
5,217.066000,-23.924831938368
5,217.146000,-23.839220723779
5,217.226000,-23.737884326867
5,217.306000,-23.639130744889
5,217.386000,-23.543845090123
5,217.466000,-23.446841447823
5,217.546000,-23.348041407715
5,217.626000,-23.248099716045
5,217.706000,-23.151422159978
5,217.786000,-23.054719881354
5,217.866000,-22.964775772964
5,217.946000,-22.864651271886
5,218.026000,-22.770126228972
5,218.106000,-22.652715068950
5,218.186000,-22.565574905678
5,218.266000,-22.467460308266
5,218.346000,-22.374059943444
5,218.426000,-22.283590991515
5,218.506000,-22.181011601005
5,218.586000,-22.088541438992
5,218.666000,-21.996169876827
5,218.746000,-21.912324134790
5,218.826000,-21.819845116149
5,218.906000,-21.737678315013
5,218.986000,-21.636513766309
5,219.066000,-21.561664554050
5,219.146000,-21.475231350139
5,219.226000,-21.387179129047
5,219.306000,-21.312173927473
5,219.386000,-21.230159618928
5,219.466000,-21.156354029033
5,219.546000,-21.082672984724
5,219.626000,-21.015281291776
5,219.706000,-20.946883493288
5,219.786000,-20.887787416859
5,219.866000,-20.837494198191
5,219.946000,-20.774063240694
5,220.026000,-20.720644744531
5,220.106000,-20.680247176723
5,220.186000,-20.632215081054
5,220.266000,-20.603637975339
5,220.346000,-20.558194182473
5,220.426000,-20.538914209004
5,220.506000,-20.509803436259
5,220.586000,-20.492929721284
5,220.666000,-20.466824614979
5,220.746000,-20.476803153671
5,220.826000,-20.468609560985
5,220.906000,-20.471958862291
5,220.986000,-20.521676048331
5,221.066000,-20.501413589783
5,221.146000,-20.523935595533
5,221.226000,-20.547855420143
5,221.306000,-20.584013256341
5,221.386000,-20.625361668344
5,221.466000,-20.675321928803
5,221.546000,-20.711849975809
5,221.626000,-20.770770740656
5,221.706000,-20.827050478426
5,221.786000,-20.892361783775
5,221.866000,-20.955758073680
5,221.946000,-21.031529120994
5,222.026000,-21.116458606453
5,222.106000,-21.208078517379
5,222.186000,-21.288842355298
5,222.266000,-21.380737035929
5,222.346000,-21.472296667406
5,222.426000,-21.577764658359
5,222.506000,-21.676410422622
5,222.586000,-21.791065346399
5,222.666000,-21.890539621572
5,222.746000,-21.994387512523
5,222.826000,-22.114726364184
5,222.906000,-22.223619573544
5,222.986000,-22.347919553635
5,223.066000,-22.459254600845
5,223.146000,-22.580475811320
5,223.226000,-22.703019853855
5,223.306000,-22.832828379196
5,223.386000,-22.951493197308
5,223.466000,-23.070777713880
5,223.546000,-23.196423299685
5,223.626000,-23.324907237844
5,223.706000,-23.460077118609
5,223.786000,-23.581503712438
5,223.866000,-23.716292050537
5,223.946000,-23.839661007892
5,224.026000,-23.968278930670
5,224.106000,-24.088468531347
5,224.186000,-24.209630941385
5,224.266000,-24.331899679423
5,224.346000,-24.475357499060
5,224.426000,-24.606338865844
5,224.506000,-24.736300141823
5,224.586000,-24.856921065700
5,224.666000,-24.995091541984
5,224.746000,-25.099580594295
5,224.826000,-25.238051189813
5,224.906000,-25.372486966539
5,224.986000,-25.504472543047
