frequency_hz,mean_power_per_hz,peak_power_per_hz,group_start_hz,group_end_hz
10434276.5808,2.37792556994e-09,1.2746016347e-08,10409568.7866,10458984.375
10484081.2683,3.48257772584e-09,2.81359062609e-08,10459373.4741,10508789.0625
10533885.9558,3.85519242815e-09,2.89255884607e-08,10509178.1616,10558593.75
10583690.6433,5.17013675966e-09,6.36466836558e-08,10558982.8491,10608398.4375
10633495.3308,4.4448834335e-09,3.1403775505e-08,10608787.5366,10658203.125
10683300.0183,3.12665436331e-09,2.1220809429e-08,10658592.2241,10708007.8125
10733104.7058,4.31990936071e-09,4.27365517387e-08,10708396.9116,10757812.5
10782909.3933,7.36305425361e-09,9.8544992032e-08,10758201.5991,10807617.1875
10832714.0808,2.51737021724e-09,1.25113382691e-08,10808006.2866,10857421.875
10882518.7683,2.82729220786e-09,1.91246891163e-08,10857810.9741,10907226.5625
10932323.4558,2.85648252181e-09,3.47533780224e-08,10907615.6616,10957031.25
10982128.1433,7.57733590022e-09,1.20895719204e-07,10957420.3491,11006835.9375
11031932.8308,2.50597769748e-09,2.11929024968e-08,11007225.0366,11056640.625
11081737.5183,2.53805649039e-09,1.25570693699e-08,11057029.7241,11106445.3125
11131542.2058,3.6420376073e-09,4.60963955064e-08,11106834.4116,11156250
11181346.8933,6.46330786956e-09,7.62589628054e-08,11156639.0991,11206054.6875
11231151.5808,5.63308406137e-09,1.09327889538e-07,11206443.7866,11255859.375
11280956.2683,2.34698286129e-09,1.30813455001e-08,11256248.4741,11305664.0625
11330760.9558,4.05773351695e-09,4.87533982217e-08,11306053.1616,11355468.75
11380565.6433,6.81586813968e-09,1.00992273625e-07,11355857.8491,11405273.4375
11430370.3308,3.08916334205e-09,1.47179522458e-08,11405662.5366,11455078.125
11480175.0183,1.98078210887e-09,1.43501662581e-08,11455467.2241,11504882.8125
11529979.7058,2.93693033532e-09,2.76234152389e-08,11505271.9116,11554687.5
11579784.3933,7.47238969956e-09,1.03934360522e-07,11555076.5991,11604492.1875
11629589.0808,3.69951945583e-09,3.13801396081e-08,11604881.2866,11654296.875
11679393.7683,8.00556248929e-09,5.76211404179e-08,11654685.9741,11704101.5625
11729198.4558,8.23038840546e-09,5.82164328529e-08,11704490.6616,11753906.25
11779003.1433,1.22276266142e-08,2.22607738833e-07,11754295.3491,11803710.9375
11828807.8308,5.70348481297e-09,7.85150874645e-08,11804100.0366,11853515.625
11878612.5183,4.32113655314e-09,1.24020390756e-07,11853904.7241,11903320.3125
11928417.2058,8.38389495185e-09,1.31791714651e-07,11903709.4116,11953125
11978221.8933,6.08074689612e-06,0.000383797520103,11953514.0991,12002929.6875
12028026.5808,1.06679300379e-08,3.04288658306e-07,12003318.7866,12052734.375
12077831.2683,8.0493098169e-09,1.05992358195e-07,12053123.4741,12102539.0625
12127635.9558,5.59657759131e-09,1.02863844807e-07,12102928.1616,12152343.75
12177440.6433,1.15190833038e-08,1.75024113217e-07,12152732.8491,12202148.4375
12227245.3308,4.22696951665e-09,5.23055993523e-08,12202537.5366,12251953.125
12277050.0183,8.24534502582e-09,6.37667122798e-08,12252342.2241,12301757.8125
12326854.7058,7.3403562629e-09,5.85358714395e-08,12302146.9116,12351562.5
12376659.3933,7.06335278967e-09,8.85208349563e-08,12351951.5991,12401367.1875
12426464.0808,2.75730418707e-09,1.76165983291e-08,12401756.2866,12451171.875
12476268.7683,2.29631514895e-09,1.64837438645e-08,12451560.9741,12500976.5625
12526073.4558,2.02407352458e-09,1.31332383497e-08,12501365.6616,12550781.25
12575878.1433,6.06161836862e-09,7.4845967994e-08,12551170.3491,12600585.9375
12625682.8308,2.43516735772e-09,1.39927417906e-08,12600975.0366,12650390.625
12675487.5183,2.59562151481e-09,2.48432211417e-08,12650779.7241,12700195.3125
12725292.2058,4.85263894552e-09,1.045293744e-07,12700584.4116,12750000
12775096.8933,8.20260908163e-09,8.2857938894e-08,12750389.0991,12799804.6875
12824901.5808,3.71806500655e-09,2.47071188693e-08,12800193.7866,12849609.375
12874706.2683,2.31775229198e-09,3.67193289594e-08,12849998.4741,12899414.0625
12924510.9558,3.00880260235e-09,3.65735397665e-08,12899803.1616,12949218.75
12974315.6433,5.83899781709e-09,9.20956935498e-08,12949607.8491,12999023.4375
13024120.3308,3.04940447876e-09,3.52773392487e-08,12999412.5366,13048828.125
13073925.0183,2.77154889251e-09,1.31977450117e-08,13049217.2241,13098632.8125
13123729.7058,3.24740391582e-09,2.92660962386e-08,13099021.9116,13148437.5
13173534.3933,6.19540486109e-09,8.04886729525e-08,13148826.5991,13198242.1875
