frequency_hz,receiver_dbfs_per_bin
222655615.234,-74.949807
222655761.719,-75.025434
222655908.203,-74.902058
222656054.688,-74.734343
222656201.172,-74.834739
222656347.656,-75.187706
222656494.141,-75.057451
222656640.625,-75.075536
222656787.109,-74.983095
222656933.594,-75.007182
222657080.078,-75.009244
222657226.562,-74.822711
222657373.047,-74.939052
222657519.531,-74.832289
222657666.016,-74.813340
222657812.500,-74.970244
222657958.984,-75.207106
222658105.469,-75.050848
222658251.953,-75.084037
222658398.438,-74.949575
222658544.922,-74.669629
222658691.406,-74.540120
222658837.891,-74.580042
222658984.375,-74.648643
222659130.859,-74.615171
222659277.344,-74.590409
222659423.828,-74.603322
222659570.312,-74.504225
222659716.797,-74.844586
222659863.281,-74.894630
222660009.766,-74.667484
222660156.250,-74.503236
222660302.734,-74.305828
222660449.219,-74.807212
222660595.703,-74.839787
222660742.188,-74.699277
222660888.672,-74.832741
222661035.156,-74.812649
222661181.641,-74.787449
222661328.125,-74.940911
222661474.609,-75.001481
222661621.094,-74.763601
222661767.578,-74.847949
222661914.062,-75.213837
222662060.547,-75.223135
222662207.031,-75.109787
222662353.516,-75.074115
222662500.000,-74.933584
222662646.484,-74.817636
222662792.969,-74.681933
222662939.453,-74.694528
222663085.938,-74.641371
222663232.422,-74.471553
222663378.906,-74.422763
222663525.391,-74.479082
222663671.875,-74.603547
222663818.359,-74.526193
222663964.844,-74.382753
222664111.328,-74.525887
222664257.812,-74.492483
222664404.297,-74.320738
222664550.781,-74.350466
222664697.266,-74.426290
222664843.750,-74.472666
222664990.234,-74.732607
222665136.719,-74.985221
222665283.203,-74.662271
222665429.688,-74.505838
222665576.172,-74.258089
222665722.656,-74.501230
222665869.141,-74.638085
222666015.625,-74.697610
222666162.109,-74.670422
222666308.594,-74.515833
222666455.078,-74.242970
222666601.562,-74.322981
222666748.047,-74.209158
222666894.531,-74.198699
222667041.016,-74.377439
222667187.500,-74.595331
222667333.984,-74.726095
222667480.469,-74.717528
222667626.953,-74.741797
222667773.438,-75.025407
222667919.922,-74.889524
222668066.406,-74.619555
222668212.891,-74.774146
222668359.375,-74.729719
222668505.859,-74.765418
222668652.344,-74.694198
222668798.828,-74.403447
222668945.312,-74.361479
222669091.797,-74.606108
222669238.281,-74.778314
222669384.766,-75.085729
