view,offset_hz,tx_on_receiver_db_per_hz,rf_off_receiver_db_per_hz
target,-59976.196,-91.330951,-104.065007
target,-59967.041,-90.847060,-104.810472
target,-59957.886,-90.651077,-104.570671
target,-59948.730,-91.304821,-102.422923
target,-59939.575,-91.969228,-103.721006
target,-59930.420,-91.574430,-104.766839
target,-59921.265,-91.675004,-103.541306
target,-59912.109,-92.438963,-104.955952
target,-59902.954,-91.167045,-104.920498
target,-59893.799,-91.250904,-103.767046
target,-59884.644,-91.507914,-102.392312
target,-59875.488,-92.754701,-104.079333
target,-59866.333,-91.812551,-104.572846
target,-59857.178,-92.072685,-103.715742
target,-59848.022,-92.308985,-103.174845
target,-59838.867,-93.108465,-102.953850
target,-59829.712,-93.449385,-104.201944
target,-59820.557,-91.470455,-104.018861
target,-59811.401,-91.218168,-103.870125
target,-59802.246,-90.959523,-104.128821
target,-59793.091,-91.314629,-104.530954
target,-59783.936,-92.234784,-105.585186
target,-59774.780,-91.409706,-105.255909
target,-59765.625,-92.041473,-104.721496
target,-59756.470,-92.244340,-104.582656
target,-59747.314,-94.193006,-103.685489
target,-59738.159,-91.971878,-103.952475
target,-59729.004,-93.080495,-104.659098
target,-59719.849,-93.465092,-103.618188
target,-59710.693,-91.888966,-102.843424
target,-59701.538,-92.789461,-103.424545
target,-59692.383,-93.332046,-104.759226
target,-59683.228,-93.985484,-105.412248
target,-59674.072,-93.246426,-105.049246
target,-59664.917,-91.305702,-104.884196
target,-59655.762,-91.610003,-103.273732
target,-59646.606,-92.289468,-105.652519
target,-59637.451,-91.776778,-105.799729
target,-59628.296,-91.047653,-104.466328
target,-59619.141,-91.693563,-104.361927
target,-59609.985,-93.901089,-103.226798
target,-59600.830,-92.443811,-102.287705
target,-59591.675,-92.526574,-102.441011
target,-59582.520,-93.850585,-102.911072
target,-59573.364,-94.560485,-104.123860
target,-59564.209,-91.897684,-103.699665
target,-59555.054,-91.974923,-103.411336
target,-59545.898,-92.256691,-104.140168
target,-59536.743,-92.566483,-103.271398
target,-59527.588,-92.498701,-103.404113
target,-59518.433,-94.186880,-104.245093
target,-59509.277,-93.962544,-106.400879
target,-59500.122,-93.676752,-106.608888
target,-59490.967,-93.831600,-104.561091
target,-59481.812,-93.660983,-103.821474
target,-59472.656,-94.203857,-103.573966
target,-59463.501,-93.425661,-106.150955
target,-59454.346,-94.051928,-104.487830
target,-59445.190,-94.659274,-103.244446
target,-59436.035,-93.510422,-104.419929
target,-59426.880,-94.067848,-104.164188
target,-59417.725,-94.647354,-103.560743
target,-59408.569,-94.842358,-104.518236
target,-59399.414,-94.630616,-103.375470
target,-59390.259,-94.578275,-103.816822
target,-59381.104,-92.545095,-103.242486
target,-59371.948,-92.776925,-104.845365
target,-59362.793,-94.157937,-104.336032
target,-59353.638,-93.270620,-104.461310
target,-59344.482,-93.220202,-103.898207
target,-59335.327,-95.992787,-103.519416
target,-59326.172,-95.600581,-103.912447
target,-59317.017,-94.691524,-104.358509
target,-59307.861,-94.345460,-103.462366
target,-59298.706,-94.396246,-103.634727
target,-59289.551,-93.194363,-104.620690
target,-59280.396,-92.421690,-103.470864
target,-59271.240,-92.179385,-103.586039
target,-59262.085,-93.343132,-104.497770
target,-59252.930,-94.506510,-104.200717
target,-59243.774,-92.757787,-104.256025
target,-59234.619,-93.373870,-102.597973
target,-59225.464,-93.489502,-102.582200
target,-59216.309,-93.343468,-103.181741
target,-59207.153,-94.850227,-103.796507
target,-59197.998,-91.706881,-103.222231
target,-59188.843,-92.029776,-103.291141
target,-59179.688,-93.262815,-103.472663
target,-59170.532,-92.570738,-103.381637
target,-59161.377,-92.528409,-103.457558
target,-59152.222,-93.883827,-104.917467
target,-59143.066,-93.452457,-103.972265
target,-59133.911,-93.480985,-102.522783
target,-59124.756,-93.997838,-103.159770
target,-59115.601,-92.792273,-104.063606
target,-59106.445,-92.273471,-105.012029
target,-59097.290,-93.337220,-103.907761
target,-59088.135,-92.985904,-103.519865
target,-59078.979,-93.079504,-102.806437
target,-59069.824,-92.648628,-103.432351
target,-59060.669,-93.568557,-102.807384
target,-59051.514,-92.587786,-103.168205
target,-59042.358,-92.417132,-104.897256
target,-59033.203,-92.389556,-104.043712
target,-59024.048,-92.475306,-104.408960
target,-59014.893,-93.262881,-103.603445
target,-59005.737,-91.711428,-102.440488
target,-58996.582,-92.212170,-103.329893
target,-58987.427,-93.112531,-104.054866
target,-58978.271,-92.983458,-102.874943
target,-58969.116,-92.226115,-102.122973
target,-58959.961,-92.601534,-103.703787
target,-58950.806,-92.582561,-103.793717
target,-58941.650,-91.651981,-103.084044
target,-58932.495,-92.069502,-104.767068
target,-58923.340,-92.509600,-105.075942
target,-58914.185,-92.201052,-105.044413
target,-58905.029,-91.416520,-104.480828
target,-58895.874,-92.732926,-103.774749
target,-58886.719,-91.423315,-103.100963
target,-58877.563,-90.740786,-102.741070
target,-58868.408,-92.071437,-103.091787
target,-58859.253,-92.360425,-103.966933
target,-58850.098,-93.134525,-103.226890
target,-58840.942,-92.211416,-102.782787
target,-58831.787,-90.888986,-102.774733
target,-58822.632,-91.280000,-103.300278
target,-58813.477,-92.705209,-103.686684
target,-58804.321,-91.726093,-103.071980
target,-58795.166,-91.531688,-102.691009
target,-58786.011,-91.300780,-102.767402
target,-58776.855,-91.364308,-103.179458
target,-58767.700,-91.726459,-101.993236
target,-58758.545,-91.130758,-103.197302
target,-58749.390,-90.734654,-104.577051
target,-58740.234,-91.510953,-104.424342
target,-58731.079,-91.112520,-104.690109
target,-58721.924,-90.352776,-103.765840
target,-58712.769,-90.280717,-102.556709
target,-58703.613,-90.471127,-104.177893
target,-58694.458,-90.986519,-104.380469
target,-58685.303,-90.433194,-105.499286
target,-58676.147,-90.534565,-104.576260
