offset_hz,q_positive_dbfs_per_bin,q_negative_dbfs_per_bin
4476.929,-88.634613,-89.716235
4495.239,-90.287465,-88.525164
4513.550,-90.742006,-89.517992
4531.860,-89.982156,-89.643584
4550.171,-89.490152,-88.179665
4568.482,-88.213817,-88.960033
4586.792,-89.384517,-88.860309
4605.103,-90.245977,-89.327674
4623.413,-89.221737,-91.157518
4641.724,-89.783652,-90.382613
4660.034,-90.349607,-88.814693
4678.345,-90.571040,-90.697652
4696.655,-88.890791,-86.646070
4714.966,-79.034076,-73.792311
4733.276,-59.879407,-57.138492
4751.587,-57.112487,-55.530236
4769.898,-66.596492,-66.687375
4788.208,-86.297725,-83.933035
4806.519,-89.956754,-90.259552
4824.829,-89.752406,-89.739626
4843.140,-88.443535,-88.650641
4861.450,-89.234091,-88.731049
4879.761,-87.096718,-86.613439
4898.071,-87.749630,-85.328259
4916.382,-83.408353,-80.585904
4934.692,-77.608760,-74.174241
4953.003,-67.772599,-64.018754
4971.314,-48.585507,-42.532210
4989.624,-36.909450,-32.515561
