physical,role,frequency_hz,tx_on_dbfs_per_hz,same_capture_rf_off_dbfs_per_hz,signed_on_minus_off_linear_per_hz,positive_on_minus_off_dbfs_per_hz,in_mandatory_222p5_223p0_baseline
139,baseline_center,222923828.125000,-99.5412661476,-109.890762508,1.00886047242e-10,-99.9616889348,1
139,baseline_center,222923925.781250,-99.1348563288,-110.150401339,1.12383803302e-10,-99.4929627456,1
139,baseline_center,222924023.437500,-99.0242012406,-109.966404038,1.15115293275e-10,-99.3886697573,1
139,baseline_center,222924121.093750,-99.5262106881,-109.800126749,1.01055740481e-10,-99.9543901131,1
139,baseline_center,222924218.750000,-99.7880510763,-110.154589756,9.53510476463e-11,-100.206745309,1
139,baseline_center,222924316.406250,-99.3472144584,-110.264589272,1.06810431877e-10,-99.7138632891,1
139,baseline_center,222924414.062500,-99.8632404066,-110.05958208,9.33353677731e-11,-100.299537569,1
139,baseline_center,222924511.718750,-99.701423216,-110.209953531,9.75887581867e-11,-100.106002083,1
139,baseline_center,222924609.375000,-99.6194059465,-110.002699666,9.91651783077e-11,-100.036408029,1
139,baseline_center,222924707.031250,-99.9661497394,-110.22009576,9.127663819e-11,-100.396403638,1
139,baseline_center,222924804.687500,-100.03058555,-110.442279218,9.02664622173e-11,-100.444735784,1
139,baseline_center,222924902.343750,-99.2596402863,-110.400586877,1.09467820563e-10,-99.6071352837,1
139,baseline_center,222925000.000000,-99.1185910063,-110.407370282,1.13396712882e-10,-99.4539953449,1
139,baseline_center,222925097.656250,-99.0998203974,-110.233688247,1.13555831359e-10,-99.4479055883,1
139,baseline_center,222925195.312500,-99.8427483198,-110.222156878,9.41858770302e-11,-100.260142138,1
139,baseline_center,222925292.968750,-100.088351657,-110.393163706,8.8851705861e-11,-100.513342298,1
139,baseline_center,222925390.625000,-99.7141364656,-110.13867266,9.71179752064e-11,-100.127003807,1
139,baseline_center,222925488.281250,-99.7691319298,-110.155290874,9.58110200302e-11,-100.185845362,1
139,baseline_center,222925585.937500,-99.390027423,-110.307806373,1.05763529258e-10,-99.756640655,1
139,baseline_center,222925683.593750,-99.2924237365,-110.145457777,1.08024277291e-10,-99.6647863054,1
139,baseline_center,222925781.250000,-98.9973878535,-110.030498199,1.16038263111e-10,-99.3539878045,1
139,baseline_center,222925878.906250,-98.9879298003,-109.973678382,1.1618212493e-10,-99.348606847,1
139,baseline_center,222925976.562500,-99.1795808264,-109.781178308,1.10276276695e-10,-99.5751790559,1
139,baseline_center,222926074.218750,-99.3477068648,-110.017213869,1.06245761627e-10,-99.7368838588,1
139,baseline_center,222926171.875000,-98.9069154533,-110.219848058,1.19113604501e-10,-99.2403863296,1
139,baseline_center,222926269.531250,-99.788032338,-110.043215548,9.51008193814e-11,-100.218157412,1
139,baseline_center,222926367.187500,-100.355680451,-110.236464501,8.2666473964e-11,-100.826705863,1
139,baseline_center,222926464.843750,-99.4599037143,-110.028579565,1.03308137777e-10,-99.8586546694,1
139,baseline_center,222926562.500000,-99.5128735126,-109.947065434,1.01747112972e-10,-99.9247790483,1
139,baseline_center,222926660.156250,-99.4275198531,-110.241178815,1.0463031059e-10,-99.803424855,1
139,baseline_center,222926757.812500,-98.9710301395,-110.449039121,1.17717415326e-10,-99.291592821,1
139,baseline_center,222926855.468750,-99.7122566506,-110.606636563,9.81536162213e-11,-100.080936953,1
139,baseline_center,222926953.125000,-99.4831293358,-110.444184732,1.03610762325e-10,-99.8459513092,1
139,baseline_center,222927050.781250,-98.946325021,-110.248870024,1.18015051525e-10,-99.2806259966,1
139,baseline_center,222927148.437500,-99.6132677975,-110.352457771,1.00092859428e-10,-99.9959690376,1
139,baseline_center,222927246.093750,-99.1432950679,-110.181934625,1.12216774621e-10,-99.4994221812,1
139,baseline_center,222927343.750000,-98.8468326757,-109.906499642,1.20194126107e-10,-99.2011675581,1
