capture_role,frequency_hz,tx_on_dbfs_per_hz,same_capture_rf_off_dbfs_per_hz,positive_tx_on_minus_off_dbfs_per_hz
physical37_mandatory_baseline_222p5_223p0,222924804.687500000,-84.3303576655,-103.873597725,-84.3788735375
physical37_mandatory_baseline_222p5_223p0,222924877.929687500,-84.2101967734,-104.069379371,-84.2552907776
physical37_mandatory_baseline_222p5_223p0,222924951.171875000,-84.0087535833,-104.363650413,-84.0489607468
physical37_mandatory_baseline_222p5_223p0,222925024.414062500,-84.2584741699,-104.489607004,-84.2998491822
physical37_mandatory_baseline_222p5_223p0,222925097.656250000,-84.3406358101,-104.564279651,-84.382082573
physical37_mandatory_baseline_222p5_223p0,222925170.898437500,-83.595591997,-104.653726631,-83.6297646234
physical37_mandatory_baseline_222p5_223p0,222925244.140625000,-83.3534938418,-104.34973386,-83.3881589381
physical37_mandatory_baseline_222p5_223p0,222925317.382812500,-83.6997040666,-103.94125351,-83.7409794868
physical37_mandatory_baseline_222p5_223p0,222925390.625000000,-84.282896185,-104.249240388,-84.3268855307
physical37_mandatory_baseline_222p5_223p0,222925463.867187500,-84.6578367819,-104.345586164,-84.7047562668
physical37_mandatory_baseline_222p5_223p0,222925537.109375000,-84.7202336679,-104.053190057,-84.771170629
physical37_mandatory_baseline_222p5_223p0,222925610.351562500,-84.700181575,-103.876266653,-84.7530034999
physical37_mandatory_baseline_222p5_223p0,222925683.593750000,-84.4785637166,-104.046729252,-84.5268003911
physical37_mandatory_baseline_222p5_223p0,222925756.835937500,-83.6392163464,-104.221975416,-83.6773592856
physical37_mandatory_baseline_222p5_223p0,222925830.078125000,-83.8297109985,-104.230144845,-83.869496854
physical37_mandatory_baseline_222p5_223p0,222925903.320312500,-83.5979210401,-104.381550828,-83.6343327139
physical37_mandatory_baseline_222p5_223p0,222925976.562500000,-83.7811008924,-104.478598495,-83.8182450433
physical37_mandatory_baseline_222p5_223p0,222926049.804687500,-83.9271316721,-104.398020542,-83.9662744002
physical37_mandatory_baseline_222p5_223p0,222926123.046875000,-84.5811899554,-104.028307042,-84.6307978317
physical37_mandatory_baseline_222p5_223p0,222926196.289062500,-84.8610194675,-104.235451948,-84.9114694618
physical37_mandatory_baseline_222p5_223p0,222926269.531250000,-84.3253398721,-104.387011311,-84.3683694285
physical37_mandatory_baseline_222p5_223p0,222926342.773437500,-84.6735151327,-104.321532624,-84.7208681943
physical37_mandatory_baseline_222p5_223p0,222926416.015625000,-83.379441952,-104.511952442,-83.4130320821
